OMP_NUM_THREADS,OMP_PLACES,OMP_PROC_BIND,OMP_SCHEDULE,KMP_LIBRARY,KMP_BLOCKTIME,KMP_FORCE_REDUCTION,KMP_ALIGN_ALLOC,Runtime
24,numa_domains,false,static,throughput,0,tree,64,43.21
24,numa_domains,false,static,throughput,0,tree,128,43.26
24,numa_domains,false,static,throughput,0,tree,256,43.09
24,numa_domains,false,static,throughput,0,tree,512,43.1
24,numa_domains,false,static,throughput,0,critical,64,42.99
24,numa_domains,false,static,throughput,0,critical,128,43.19
24,numa_domains,false,static,throughput,0,critical,256,43.095
24,numa_domains,false,static,throughput,0,critical,512,43.15
24,numa_domains,false,static,throughput,0,atomic,64,43.0425
24,numa_domains,false,static,throughput,0,atomic,128,43.1725
24,numa_domains,false,static,throughput,0,atomic,256,43.0325
24,numa_domains,false,static,throughput,0,atomic,512,43.185
24,numa_domains,false,static,throughput,200,tree,64,3.975
24,numa_domains,false,static,throughput,200,tree,128,3.9925
24,numa_domains,false,static,throughput,200,tree,256,4.01
24,numa_domains,false,static,throughput,200,tree,512,4.0
24,numa_domains,false,static,throughput,200,critical,64,3.96
24,numa_domains,false,static,throughput,200,critical,128,4.005
24,numa_domains,false,static,throughput,200,critical,256,3.975
24,numa_domains,false,static,throughput,200,critical,512,3.985
24,numa_domains,false,static,throughput,200,atomic,64,3.98
24,numa_domains,false,static,throughput,200,atomic,128,3.9875
24,numa_domains,false,static,throughput,200,atomic,256,3.955
24,numa_domains,false,static,throughput,200,atomic,512,4.0
24,numa_domains,false,static,throughput,infinite,tree,64,4.04
24,numa_domains,false,static,throughput,infinite,tree,128,3.9425
24,numa_domains,false,static,throughput,infinite,tree,256,4.0225
24,numa_domains,false,static,throughput,infinite,tree,512,4.0275
24,numa_domains,false,static,throughput,infinite,critical,64,3.965
24,numa_domains,false,static,throughput,infinite,critical,128,3.9725
24,numa_domains,false,static,throughput,infinite,critical,256,4.0275
24,numa_domains,false,static,throughput,infinite,critical,512,3.9625
24,numa_domains,false,static,throughput,infinite,atomic,64,3.93
24,numa_domains,false,static,throughput,infinite,atomic,128,3.9925
24,numa_domains,false,static,throughput,infinite,atomic,256,3.975
24,numa_domains,false,static,throughput,infinite,atomic,512,4.0025
24,numa_domains,false,static,turnaround,0,tree,64,43.2825
24,numa_domains,false,static,turnaround,0,tree,128,43.1475
24,numa_domains,false,static,turnaround,0,tree,256,43.24
24,numa_domains,false,static,turnaround,0,tree,512,43.045
24,numa_domains,false,static,turnaround,0,critical,64,43.31
24,numa_domains,false,static,turnaround,0,critical,128,43.1225
24,numa_domains,false,static,turnaround,0,critical,256,43.4225
24,numa_domains,false,static,turnaround,0,critical,512,43.235
24,numa_domains,false,static,turnaround,0,atomic,64,43.1825
24,numa_domains,false,static,turnaround,0,atomic,128,43.4175
24,numa_domains,false,static,turnaround,0,atomic,256,43.2175
24,numa_domains,false,static,turnaround,0,atomic,512,43.285
24,numa_domains,false,static,turnaround,200,tree,64,4.0375
24,numa_domains,false,static,turnaround,200,tree,128,3.9975
24,numa_domains,false,static,turnaround,200,tree,256,4.0375
24,numa_domains,false,static,turnaround,200,tree,512,4.0
24,numa_domains,false,static,turnaround,200,critical,64,3.99
24,numa_domains,false,static,turnaround,200,critical,128,4.02
24,numa_domains,false,static,turnaround,200,critical,256,4.04
24,numa_domains,false,static,turnaround,200,critical,512,3.945
24,numa_domains,false,static,turnaround,200,atomic,64,3.9825
24,numa_domains,false,static,turnaround,200,atomic,128,3.995
24,numa_domains,false,static,turnaround,200,atomic,256,3.9625
24,numa_domains,false,static,turnaround,200,atomic,512,4.0275
24,numa_domains,false,static,turnaround,infinite,tree,64,3.97
24,numa_domains,false,static,turnaround,infinite,tree,128,4.02
24,numa_domains,false,static,turnaround,infinite,tree,256,3.98
24,numa_domains,false,static,turnaround,infinite,tree,512,3.965
