OMP_NUM_THREADS,OMP_PLACES,OMP_PROC_BIND,OMP_SCHEDULE,KMP_LIBRARY,KMP_BLOCKTIME,KMP_FORCE_REDUCTION,KMP_ALIGN_ALLOC,Runtime
96,cores,false,static,throughput,0,tree,64,4.05487
96,cores,false,static,throughput,0,tree,128,4.0002
96,cores,false,static,throughput,0,tree,256,3.97972
96,cores,false,static,throughput,0,tree,512,3.89818
96,cores,false,static,throughput,0,critical,64,3.95811
96,cores,false,static,throughput,0,critical,128,3.93832
96,cores,false,static,throughput,0,critical,256,3.99946
96,cores,false,static,throughput,0,critical,512,3.99368
96,cores,false,static,throughput,0,atomic,64,3.94662
96,cores,false,static,throughput,0,atomic,128,3.96452
96,cores,false,static,throughput,0,atomic,256,3.94308
96,cores,false,static,throughput,0,atomic,512,4.03044
96,cores,false,static,throughput,200,tree,64,3.99091
96,cores,false,static,throughput,200,tree,128,3.97958
96,cores,false,static,throughput,200,tree,256,3.91889
96,cores,false,static,throughput,200,tree,512,3.96442
96,cores,false,static,throughput,200,critical,64,4.0045
96,cores,false,static,throughput,200,critical,128,3.91792
96,cores,false,static,throughput,200,critical,256,4.00987
96,cores,false,static,throughput,200,critical,512,3.99731
96,cores,false,static,throughput,200,atomic,64,3.98831
96,cores,false,static,throughput,200,atomic,128,3.95246
96,cores,false,static,throughput,200,atomic,256,4.01674
96,cores,false,static,throughput,200,atomic,512,4.0162
96,cores,false,static,throughput,infinite,tree,64,3.82832
96,cores,false,static,throughput,infinite,tree,128,3.83118
96,cores,false,static,throughput,infinite,tree,256,3.81255
96,cores,false,static,throughput,infinite,tree,512,3.79032
96,cores,false,static,throughput,infinite,critical,64,3.82326
96,cores,false,static,throughput,infinite,critical,128,3.82603
96,cores,false,static,throughput,infinite,critical,256,3.80044
96,cores,false,static,throughput,infinite,critical,512,3.78536
96,cores,false,static,throughput,infinite,atomic,64,3.82745
96,cores,false,static,throughput,infinite,atomic,128,3.82312
96,cores,false,static,throughput,infinite,atomic,256,3.80938
96,cores,false,static,throughput,infinite,atomic,512,3.78488
96,cores,false,static,turnaround,0,tree,64,1.6898
96,cores,false,static,turnaround,0,tree,128,1.6811
96,cores,false,static,turnaround,0,tree,256,1.68861
96,cores,false,static,turnaround,0,tree,512,1.68491
96,cores,false,static,turnaround,0,critical,64,1.68299
96,cores,false,static,turnaround,0,critical,128,1.68632
96,cores,false,static,turnaround,0,critical,256,1.68795
96,cores,false,static,turnaround,0,critical,512,1.68017
96,cores,false,static,turnaround,0,atomic,64,1.68105
96,cores,false,static,turnaround,0,atomic,128,1.67594
96,cores,false,static,turnaround,0,atomic,256,1.68288
96,cores,false,static,turnaround,0,atomic,512,1.6779
96,cores,false,static,turnaround,200,tree,64,1.6857
96,cores,false,static,turnaround,200,tree,128,1.6783
96,cores,false,static,turnaround,200,tree,256,1.67183
96,cores,false,static,turnaround,200,tree,512,1.6784
96,cores,false,static,turnaround,200,critical,64,1.70048
96,cores,false,static,turnaround,200,critical,128,1.67128
96,cores,false,static,turnaround,200,critical,256,1.68165
96,cores,false,static,turnaround,200,critical,512,1.67312
96,cores,false,static,turnaround,200,atomic,64,1.68079
96,cores,false,static,turnaround,200,atomic,128,1.68803
96,cores,false,static,turnaround,200,atomic,256,1.68538
96,cores,false,static,turnaround,200,atomic,512,1.68256
96,cores,false,static,turnaround,infinite,tree,64,1.69161
96,cores,false,static,turnaround,infinite,tree,128,1.69442
96,cores,false,static,turnaround,infinite,tree,256,1.68165
96,cores,false,static,turnaround,infinite,tree,512,1.6697
96,cores,false,static,turnaround,infinite,critical,64,1.69312
96,cores,false,static,turnaround,infinite,critical,128,1.69284
96,cores,false,static,turnaround,infinite,critical,256,1.68548
96,cores,false,static,turnaround,infinite,critical,512,1.67717
96,cores,false,static,turnaround,infinite,atomic,64,1.694
96,cores,false,static,turnaround,infinite,atomic,128,1.69335
96,cores,false,static,turnaround,infinite,atomic,256,1.68544
96,cores,false,static,turnaround,infinite,atomic,512,1.67267
96,cores,false,dynamic,throughput,0,tree,64,3.98555
96,cores,false,dynamic,throughput,0,tree,128,3.92112
96,cores,false,dynamic,throughput,0,tree,256,3.93934
96,cores,false,dynamic,throughput,0,tree,512,3.98582
96,cores,false,dynamic,throughput,0,critical,64,3.97482
96,cores,false,dynamic,throughput,0,critical,128,4.02571
96,cores,false,dynamic,throughput,0,critical,256,3.93861
96,cores,false,dynamic,throughput,0,critical,512,3.98051
96,cores,false,dynamic,throughput,0,atomic,64,3.96878
96,cores,false,dynamic,throughput,0,atomic,128,3.99171
96,cores,false,dynamic,throughput,0,atomic,256,3.92433
96,cores,false,dynamic,throughput,0,atomic,512,4.01117
96,cores,false,dynamic,throughput,200,tree,64,3.95635
96,cores,false,dynamic,throughput,200,tree,128,3.94146
96,cores,false,dynamic,throughput,200,tree,256,3.9445
96,cores,false,dynamic,throughput,200,tree,512,3.9512
96,cores,false,dynamic,throughput,200,critical,64,4.02063
96,cores,false,dynamic,throughput,200,critical,128,3.99618
96,cores,false,dynamic,throughput,200,critical,256,3.98108
96,cores,false,dynamic,throughput,200,critical,512,4.00847
96,cores,false,dynamic,throughput,200,atomic,64,3.94647
96,cores,false,dynamic,throughput,200,atomic,128,3.93758
96,cores,false,dynamic,throughput,200,atomic,256,3.96809
96,cores,false,dynamic,throughput,200,atomic,512,3.97036
96,cores,false,dynamic,throughput,infinite,tree,64,3.8389
96,cores,false,dynamic,throughput,infinite,tree,128,3.82927
96,cores,false,dynamic,throughput,infinite,tree,256,3.8059
96,cores,false,dynamic,throughput,infinite,tree,512,3.79337
96,cores,false,dynamic,throughput,infinite,critical,64,3.83138
96,cores,false,dynamic,throughput,infinite,critical,128,3.83057
96,cores,false,dynamic,throughput,infinite,critical,256,3.80725
96,cores,false,dynamic,throughput,infinite,critical,512,3.7974
96,cores,false,dynamic,throughput,infinite,atomic,64,3.83023
96,cores,false,dynamic,throughput,infinite,atomic,128,3.81522
96,cores,false,dynamic,throughput,infinite,atomic,256,3.80489
96,cores,false,dynamic,throughput,infinite,atomic,512,3.79141
96,cores,false,dynamic,turnaround,0,tree,64,1.68728
96,cores,false,dynamic,turnaround,0,tree,128,1.68428
96,cores,false,dynamic,turnaround,0,tree,256,1.66539
96,cores,false,dynamic,turnaround,0,tree,512,1.68777
96,cores,false,dynamic,turnaround,0,critical,64,1.69059
96,cores,false,dynamic,turnaround,0,critical,128,1.68177
96,cores,false,dynamic,turnaround,0,critical,256,1.67945
96,cores,false,dynamic,turnaround,0,critical,512,1.68148
96,cores,false,dynamic,turnaround,0,atomic,64,1.68096
96,cores,false,dynamic,turnaround,0,atomic,128,1.683
96,cores,false,dynamic,turnaround,0,atomic,256,1.68188
96,cores,false,dynamic,turnaround,0,atomic,512,1.67768
96,cores,false,dynamic,turnaround,200,tree,64,1.68571
96,cores,false,dynamic,turnaround,200,tree,128,1.67361
96,cores,false,dynamic,turnaround,200,tree,256,1.67979
96,cores,false,dynamic,turnaround,200,tree,512,1.67377
96,cores,false,dynamic,turnaround,200,critical,64,1.68258
96,cores,false,dynamic,turnaround,200,critical,128,1.67486
96,cores,false,dynamic,turnaround,200,critical,256,1.67737
96,cores,false,dynamic,turnaround,200,critical,512,1.66775
96,cores,false,dynamic,turnaround,200,atomic,64,1.69502
96,cores,false,dynamic,turnaround,200,atomic,128,1.68329
96,cores,false,dynamic,turnaround,200,atomic,256,1.6759
96,cores,false,dynamic,turnaround,200,atomic,512,1.6766
96,cores,false,dynamic,turnaround,infinite,tree,64,1.69722
96,cores,false,dynamic,turnaround,infinite,tree,128,1.69406
96,cores,false,dynamic,turnaround,infinite,tree,256,1.68802
96,cores,false,dynamic,turnaround,infinite,tree,512,1.6708
96,cores,false,dynamic,turnaround,infinite,critical,64,1.69455
96,cores,false,dynamic,turnaround,infinite,critical,128,1.69516
96,cores,false,dynamic,turnaround,infinite,critical,256,1.686
96,cores,false,dynamic,turnaround,infinite,critical,512,1.67771
96,cores,false,dynamic,turnaround,infinite,atomic,64,1.69146
96,cores,false,dynamic,turnaround,infinite,atomic,128,1.68968
96,cores,false,dynamic,turnaround,infinite,atomic,256,1.68459
96,cores,false,dynamic,turnaround,infinite,atomic,512,1.67736
96,cores,false,guided,throughput,0,tree,64,3.96023
96,cores,false,guided,throughput,0,tree,128,4.01493
96,cores,false,guided,throughput,0,tree,256,3.9733
96,cores,false,guided,throughput,0,tree,512,3.88659
96,cores,false,guided,throughput,0,critical,64,4.03615
96,cores,false,guided,throughput,0,critical,128,3.96672
96,cores,false,guided,throughput,0,critical,256,3.94599
96,cores,false,guided,throughput,0,critical,512,3.96828
96,cores,false,guided,throughput,0,atomic,64,3.97732
96,cores,false,guided,throughput,0,atomic,128,4.01054
96,cores,false,guided,throughput,0,atomic,256,3.93922
96,cores,false,guided,throughput,0,atomic,512,3.9531
96,cores,false,guided,throughput,200,tree,64,3.99085
96,cores,false,guided,throughput,200,tree,128,3.97163
96,cores,false,guided,throughput,200,tree,256,3.93773
96,cores,false,guided,throughput,200,tree,512,3.95718
96,cores,false,guided,throughput,200,critical,64,3.92824
96,cores,false,guided,throughput,200,critical,128,3.91775
96,cores,false,guided,throughput,200,critical,256,3.94898
96,cores,false,guided,throughput,200,critical,512,4.0142
96,cores,false,guided,throughput,200,atomic,64,3.97966
96,cores,false,guided,throughput,200,atomic,128,3.97526
96,cores,false,guided,throughput,200,atomic,256,3.91295
96,cores,false,guided,throughput,200,atomic,512,3.97159
96,cores,false,guided,throughput,infinite,tree,64,3.84119
96,cores,false,guided,throughput,infinite,tree,128,3.82413
96,cores,false,guided,throughput,infinite,tree,256,3.80354
96,cores,false,guided,throughput,infinite,tree,512,3.79473
96,cores,false,guided,throughput,infinite,critical,64,3.82966
96,cores,false,guided,throughput,infinite,critical,128,3.83591
96,cores,false,guided,throughput,infinite,critical,256,3.80009
96,cores,false,guided,throughput,infinite,critical,512,3.788
96,cores,false,guided,throughput,infinite,atomic,64,3.82376
96,cores,false,guided,throughput,infinite,atomic,128,3.82834
96,cores,false,guided,throughput,infinite,atomic,256,3.80011
96,cores,false,guided,throughput,infinite,atomic,512,3.78966
96,cores,false,guided,turnaround,0,tree,64,1.69615
96,cores,false,guided,turnaround,0,tree,128,1.67033
96,cores,false,guided,turnaround,0,tree,256,1.67824
96,cores,false,guided,turnaround,0,tree,512,1.68124
96,cores,false,guided,turnaround,0,critical,64,1.68354
96,cores,false,guided,turnaround,0,critical,128,1.67969
96,cores,false,guided,turnaround,0,critical,256,1.67565
96,cores,false,guided,turnaround,0,critical,512,1.67463
