OMP_NUM_THREADS,OMP_PLACES,OMP_PROC_BIND,OMP_SCHEDULE,KMP_LIBRARY,KMP_BLOCKTIME,KMP_FORCE_REDUCTION,KMP_ALIGN_ALLOC,Runtime
96,cores,false,static,throughput,0,tree,64,0.70538
96,cores,false,static,throughput,0,tree,128,0.71541
96,cores,false,static,throughput,0,tree,256,0.72569
96,cores,false,static,throughput,0,tree,512,0.76168
96,cores,false,static,throughput,0,critical,64,0.74355
96,cores,false,static,throughput,0,critical,128,0.72676
96,cores,false,static,throughput,0,critical,256,0.73679
96,cores,false,static,throughput,0,critical,512,0.72934
96,cores,false,static,throughput,0,atomic,64,0.68509
96,cores,false,static,throughput,0,atomic,128,0.7191
96,cores,false,static,throughput,0,atomic,256,0.73225
96,cores,false,static,throughput,0,atomic,512,0.72174
96,cores,false,static,throughput,200,tree,64,0.72678
96,cores,false,static,throughput,200,tree,128,0.72141
96,cores,false,static,throughput,200,tree,256,0.68701
96,cores,false,static,throughput,200,tree,512,0.73139
96,cores,false,static,throughput,200,critical,64,0.75974
96,cores,false,static,throughput,200,critical,128,0.75108
96,cores,false,static,throughput,200,critical,256,0.70876
96,cores,false,static,throughput,200,critical,512,0.72586
96,cores,false,static,throughput,200,atomic,64,0.7839
96,cores,false,static,throughput,200,atomic,128,0.73239
96,cores,false,static,throughput,200,atomic,256,0.73113
96,cores,false,static,throughput,200,atomic,512,0.69025
96,cores,false,static,throughput,infinite,tree,64,0.62382
96,cores,false,static,throughput,infinite,tree,128,0.62313
96,cores,false,static,throughput,infinite,tree,256,0.62366
96,cores,false,static,throughput,infinite,tree,512,0.62445
96,cores,false,static,throughput,infinite,critical,64,0.62985
96,cores,false,static,throughput,infinite,critical,128,0.62631
96,cores,false,static,throughput,infinite,critical,256,0.62223
96,cores,false,static,throughput,infinite,critical,512,0.62264
96,cores,false,static,throughput,infinite,atomic,64,0.62743
96,cores,false,static,throughput,infinite,atomic,128,0.62274
96,cores,false,static,throughput,infinite,atomic,256,0.62637
96,cores,false,static,throughput,infinite,atomic,512,0.61575
96,cores,false,static,turnaround,0,tree,64,0.30174
96,cores,false,static,turnaround,0,tree,128,0.30582
96,cores,false,static,turnaround,0,tree,256,0.29551
96,cores,false,static,turnaround,0,tree,512,0.30147
96,cores,false,static,turnaround,0,critical,64,0.30598
96,cores,false,static,turnaround,0,critical,128,0.30179
96,cores,false,static,turnaround,0,critical,256,0.29545
96,cores,false,static,turnaround,0,critical,512,0.29827
96,cores,false,static,turnaround,0,atomic,64,0.29936
96,cores,false,static,turnaround,0,atomic,128,0.30531
96,cores,false,static,turnaround,0,atomic,256,0.30423
96,cores,false,static,turnaround,0,atomic,512,0.31169
96,cores,false,static,turnaround,200,tree,64,0.30785
96,cores,false,static,turnaround,200,tree,128,0.30323
96,cores,false,static,turnaround,200,tree,256,0.29207
96,cores,false,static,turnaround,200,tree,512,0.29545
96,cores,false,static,turnaround,200,critical,64,0.29882
96,cores,false,static,turnaround,200,critical,128,0.29878
96,cores,false,static,turnaround,200,critical,256,0.30364
96,cores,false,static,turnaround,200,critical,512,0.29267
96,cores,false,static,turnaround,200,atomic,64,0.29462
96,cores,false,static,turnaround,200,atomic,128,0.2975
