OMP_NUM_THREADS,OMP_PLACES,OMP_PROC_BIND,OMP_SCHEDULE,KMP_LIBRARY,KMP_BLOCKTIME,KMP_FORCE_REDUCTION,KMP_ALIGN_ALLOC,Runtime
96,numa_domains,false,static,throughput,0,tree,64,2.198
96,numa_domains,false,static,throughput,0,tree,128,2.1658
96,numa_domains,false,static,throughput,0,tree,256,2.1736
96,numa_domains,false,static,throughput,0,tree,512,2.181
96,numa_domains,false,static,throughput,0,critical,64,2.1748
96,numa_domains,false,static,throughput,0,critical,128,2.1688
96,numa_domains,false,static,throughput,0,critical,256,2.189
96,numa_domains,false,static,throughput,0,critical,512,2.1768
96,numa_domains,false,static,throughput,0,atomic,64,2.1742
96,numa_domains,false,static,throughput,0,atomic,128,2.1812
96,numa_domains,false,static,throughput,0,atomic,256,2.1828
96,numa_domains,false,static,throughput,0,atomic,512,2.1822
96,numa_domains,false,static,throughput,200,tree,64,2.2588
96,numa_domains,false,static,throughput,200,tree,128,2.2528
96,numa_domains,false,static,throughput,200,tree,256,2.243
96,numa_domains,false,static,throughput,200,tree,512,2.256
96,numa_domains,false,static,throughput,200,critical,64,2.2402
96,numa_domains,false,static,throughput,200,critical,128,2.2432
96,numa_domains,false,static,throughput,200,critical,256,2.2608
96,numa_domains,false,static,throughput,200,critical,512,2.24
96,numa_domains,false,static,throughput,200,atomic,64,2.2456
96,numa_domains,false,static,throughput,200,atomic,128,2.251
96,numa_domains,false,static,throughput,200,atomic,256,2.2452
96,numa_domains,false,static,throughput,200,atomic,512,2.2466
96,numa_domains,false,static,throughput,infinite,tree,64,2.2712
96,numa_domains,false,static,throughput,infinite,tree,128,2.2702
96,numa_domains,false,static,throughput,infinite,tree,256,2.2684
96,numa_domains,false,static,throughput,infinite,tree,512,2.2638
96,numa_domains,false,static,throughput,infinite,critical,64,2.2628
96,numa_domains,false,static,throughput,infinite,critical,128,2.261
96,numa_domains,false,static,throughput,infinite,critical,256,2.257
96,numa_domains,false,static,throughput,infinite,critical,512,2.2638
96,numa_domains,false,static,throughput,infinite,atomic,64,2.262
96,numa_domains,false,static,throughput,infinite,atomic,128,2.2654
96,numa_domains,false,static,throughput,infinite,atomic,256,2.2736
96,numa_domains,false,static,throughput,infinite,atomic,512,2.2702
96,numa_domains,false,static,turnaround,0,tree,64,2.1742
96,numa_domains,false,static,turnaround,0,tree,128,2.1898
96,numa_domains,false,static,turnaround,0,tree,256,2.183
96,numa_domains,false,static,turnaround,0,tree,512,2.181
96,numa_domains,false,static,turnaround,0,critical,64,2.1804
96,numa_domains,false,static,turnaround,0,critical,128,2.1802
96,numa_domains,false,static,turnaround,0,critical,256,2.184
96,numa_domains,false,static,turnaround,0,critical,512,2.1734
96,numa_domains,false,static,turnaround,0,atomic,64,2.1694
96,numa_domains,false,static,turnaround,0,atomic,128,2.1748
96,numa_domains,false,static,turnaround,0,atomic,256,2.1622
96,numa_domains,false,static,turnaround,0,atomic,512,2.1714
96,numa_domains,false,static,turnaround,200,tree,64,2.2326
96,numa_domains,false,static,turnaround,200,tree,128,2.241
96,numa_domains,false,static,turnaround,200,tree,256,2.2436
96,numa_domains,false,static,turnaround,200,tree,512,2.2412
96,numa_domains,false,static,turnaround,200,critical,64,2.2678
96,numa_domains,false,static,turnaround,200,critical,128,2.2448
96,numa_domains,false,static,turnaround,200,critical,256,2.2604
96,numa_domains,false,static,turnaround,200,critical,512,2.2672
96,numa_domains,false,static,turnaround,200,atomic,64,2.247
96,numa_domains,false,static,turnaround,200,atomic,128,2.2462
96,numa_domains,false,static,turnaround,200,atomic,256,2.2424
96,numa_domains,false,static,turnaround,200,atomic,512,2.2366
96,numa_domains,false,static,turnaround,infinite,tree,64,2.2758
96,numa_domains,false,static,turnaround,infinite,tree,128,2.2796
96,numa_domains,false,static,turnaround,infinite,tree,256,2.2776
96,numa_domains,false,static,turnaround,infinite,tree,512,2.2678
96,numa_domains,false,static,turnaround,infinite,critical,64,2.2748
96,numa_domains,false,static,turnaround,infinite,critical,128,2.27
96,numa_domains,false,static,turnaround,infinite,critical,256,2.272
96,numa_domains,false,static,turnaround,infinite,critical,512,2.2666
96,numa_domains,false,static,turnaround,infinite,atomic,64,2.2614
96,numa_domains,false,static,turnaround,infinite,atomic,128,2.2698
96,numa_domains,false,static,turnaround,infinite,atomic,256,2.269
96,numa_domains,false,static,turnaround,infinite,atomic,512,2.266
96,numa_domains,false,dynamic,throughput,0,tree,64,2.1906
96,numa_domains,false,dynamic,throughput,0,tree,128,2.178
96,numa_domains,false,dynamic,throughput,0,tree,256,2.1652
96,numa_domains,false,dynamic,throughput,0,tree,512,2.1724
