OMP_NUM_THREADS,OMP_PLACES,OMP_PROC_BIND,OMP_SCHEDULE,KMP_LIBRARY,KMP_BLOCKTIME,KMP_FORCE_REDUCTION,KMP_ALIGN_ALLOC,Runtime
8,numa_domains,false,static,throughput,0,tree,64,21.3046
8,numa_domains,false,static,throughput,0,tree,128,21.3552
8,numa_domains,false,static,throughput,0,tree,256,21.3384
8,numa_domains,false,static,throughput,0,tree,512,21.2972
8,numa_domains,false,static,throughput,0,critical,64,21.2958
8,numa_domains,false,static,throughput,0,critical,128,21.2594
8,numa_domains,false,static,throughput,0,critical,256,21.2698
8,numa_domains,false,static,throughput,0,critical,512,21.3
8,numa_domains,false,static,throughput,0,atomic,64,21.3692
8,numa_domains,false,static,throughput,0,atomic,128,21.3512
8,numa_domains,false,static,throughput,0,atomic,256,21.2472
8,numa_domains,false,static,throughput,0,atomic,512,21.3322
8,numa_domains,false,static,throughput,200,tree,64,21.3206
8,numa_domains,false,static,throughput,200,tree,128,21.3442
8,numa_domains,false,static,throughput,200,tree,256,21.3232
8,numa_domains,false,static,throughput,200,tree,512,21.2874
8,numa_domains,false,static,throughput,200,critical,64,21.2764
8,numa_domains,false,static,throughput,200,critical,128,21.2218
8,numa_domains,false,static,throughput,200,critical,256,21.4118
8,numa_domains,false,static,throughput,200,critical,512,21.3194
8,numa_domains,false,static,throughput,200,atomic,64,21.158
8,numa_domains,false,static,throughput,200,atomic,128,21.2102
8,numa_domains,false,static,throughput,200,atomic,256,21.2222
8,numa_domains,false,static,throughput,200,atomic,512,21.2778
8,numa_domains,false,static,throughput,infinite,tree,64,21.361
8,numa_domains,false,static,throughput,infinite,tree,128,21.3542
8,numa_domains,false,static,throughput,infinite,tree,256,21.336
8,numa_domains,false,static,throughput,infinite,tree,512,21.3544
8,numa_domains,false,static,throughput,infinite,critical,64,21.3258
8,numa_domains,false,static,throughput,infinite,critical,128,21.358
8,numa_domains,false,static,throughput,infinite,critical,256,21.3798
8,numa_domains,false,static,throughput,infinite,critical,512,21.4082
8,numa_domains,false,static,throughput,infinite,atomic,64,21.3204
8,numa_domains,false,static,throughput,infinite,atomic,128,21.326
8,numa_domains,false,static,throughput,infinite,atomic,256,21.338
8,numa_domains,false,static,throughput,infinite,atomic,512,21.2684
8,numa_domains,false,static,turnaround,0,tree,64,21.4316
8,numa_domains,false,static,turnaround,0,tree,128,21.3958
8,numa_domains,false,static,turnaround,0,tree,256,21.4044
8,numa_domains,false,static,turnaround,0,tree,512,21.3518
8,numa_domains,false,static,turnaround,0,critical,64,21.2482
8,numa_domains,false,static,turnaround,0,critical,128,21.3136
8,numa_domains,false,static,turnaround,0,critical,256,21.2786
8,numa_domains,false,static,turnaround,0,critical,512,21.3786
8,numa_domains,false,static,turnaround,0,atomic,64,21.2746
8,numa_domains,false,static,turnaround,0,atomic,128,21.2562
8,numa_domains,false,static,turnaround,0,atomic,256,21.2782
8,numa_domains,false,static,turnaround,0,atomic,512,21.3616
8,numa_domains,false,static,turnaround,200,tree,64,21.3904
8,numa_domains,false,static,turnaround,200,tree,128,21.3128
8,numa_domains,false,static,turnaround,200,tree,256,21.2208
8,numa_domains,false,static,turnaround,200,tree,512,21.2944
8,numa_domains,false,static,turnaround,200,critical,64,21.2494
8,numa_domains,false,static,turnaround,200,critical,128,21.281
8,numa_domains,false,static,turnaround,200,critical,256,21.3248
8,numa_domains,false,static,turnaround,200,critical,512,21.3192
8,numa_domains,false,static,turnaround,200,atomic,64,21.1874
8,numa_domains,false,static,turnaround,200,atomic,128,21.2052
8,numa_domains,false,static,turnaround,200,atomic,256,21.3758
8,numa_domains,false,static,turnaround,200,atomic,512,21.2662
8,numa_domains,false,static,turnaround,infinite,tree,64,21.3434
8,numa_domains,false,static,turnaround,infinite,tree,128,21.4702
8,numa_domains,false,static,turnaround,infinite,tree,256,21.3998
8,numa_domains,false,static,turnaround,infinite,tree,512,21.2688
8,numa_domains,false,static,turnaround,infinite,critical,64,21.3578
8,numa_domains,false,static,turnaround,infinite,critical,128,21.3304
8,numa_domains,false,static,turnaround,infinite,critical,256,21.4256
8,numa_domains,false,static,turnaround,infinite,critical,512,21.3352
8,numa_domains,false,static,turnaround,infinite,atomic,64,21.3588
8,numa_domains,false,static,turnaround,infinite,atomic,128,21.3848
8,numa_domains,false,static,turnaround,infinite,atomic,256,21.3748
8,numa_domains,false,static,turnaround,infinite,atomic,512,21.3324
8,numa_domains,false,dynamic,throughput,0,tree,64,21.3044
8,numa_domains,false,dynamic,throughput,0,tree,128,21.3348
8,numa_domains,false,dynamic,throughput,0,tree,256,21.4028
8,numa_domains,false,dynamic,throughput,0,tree,512,21.4558
8,numa_domains,false,dynamic,throughput,0,critical,64,21.3332
8,numa_domains,false,dynamic,throughput,0,critical,128,21.2294
8,numa_domains,false,dynamic,throughput,0,critical,256,21.2354
8,numa_domains,false,dynamic,throughput,0,critical,512,21.3666
8,numa_domains,false,dynamic,throughput,0,atomic,64,21.3388
8,numa_domains,false,dynamic,throughput,0,atomic,128,21.2474
8,numa_domains,false,dynamic,throughput,0,atomic,256,21.3458
8,numa_domains,false,dynamic,throughput,0,atomic,512,21.3102
8,numa_domains,false,dynamic,throughput,200,tree,64,21.4074
8,numa_domains,false,dynamic,throughput,200,tree,128,21.4162
8,numa_domains,false,dynamic,throughput,200,tree,256,21.2732
8,numa_domains,false,dynamic,throughput,200,tree,512,21.2774
8,numa_domains,false,dynamic,throughput,200,critical,64,21.18
8,numa_domains,false,dynamic,throughput,200,critical,128,21.3682
8,numa_domains,false,dynamic,throughput,200,critical,256,21.3228
8,numa_domains,false,dynamic,throughput,200,critical,512,21.2804
8,numa_domains,false,dynamic,throughput,200,atomic,64,21.3006
8,numa_domains,false,dynamic,throughput,200,atomic,128,21.2652
8,numa_domains,false,dynamic,throughput,200,atomic,256,21.339
8,numa_domains,false,dynamic,throughput,200,atomic,512,21.1612
8,numa_domains,false,dynamic,throughput,infinite,tree,64,21.3158
8,numa_domains,false,dynamic,throughput,infinite,tree,128,21.4262
8,numa_domains,false,dynamic,throughput,infinite,tree,256,21.2088
8,numa_domains,false,dynamic,throughput,infinite,tree,512,21.3376
8,numa_domains,false,dynamic,throughput,infinite,critical,64,21.2918
8,numa_domains,false,dynamic,throughput,infinite,critical,128,21.3974
8,numa_domains,false,dynamic,throughput,infinite,critical,256,21.3362
8,numa_domains,false,dynamic,throughput,infinite,critical,512,21.3982
8,numa_domains,false,dynamic,throughput,infinite,atomic,64,21.3108
8,numa_domains,false,dynamic,throughput,infinite,atomic,128,21.2924
8,numa_domains,false,dynamic,throughput,infinite,atomic,256,21.2948
8,numa_domains,false,dynamic,throughput,infinite,atomic,512,21.3292
8,numa_domains,false,dynamic,turnaround,0,tree,64,21.3042
8,numa_domains,false,dynamic,turnaround,0,tree,128,21.3186
8,numa_domains,false,dynamic,turnaround,0,tree,256,21.2738
8,numa_domains,false,dynamic,turnaround,0,tree,512,21.3302
