OMP_NUM_THREADS,OMP_PLACES,OMP_PROC_BIND,OMP_SCHEDULE,KMP_LIBRARY,KMP_BLOCKTIME,KMP_FORCE_REDUCTION,KMP_ALIGN_ALLOC,Runtime
96,cores,false,static,throughput,0,tree,64,2.82828
96,cores,false,static,throughput,0,tree,128,2.74805
96,cores,false,static,throughput,0,tree,256,2.81464
96,cores,false,static,throughput,0,tree,512,2.97451
96,cores,false,static,throughput,0,critical,64,2.78918
96,cores,false,static,throughput,0,critical,128,2.80992
96,cores,false,static,throughput,0,critical,256,2.62153
96,cores,false,static,throughput,0,critical,512,2.74321
96,cores,false,static,throughput,0,atomic,64,2.67237
96,cores,false,static,throughput,0,atomic,128,2.6721
96,cores,false,static,throughput,0,atomic,256,2.74779
96,cores,false,static,throughput,0,atomic,512,2.79887
96,cores,false,static,throughput,200,tree,64,2.76682
96,cores,false,static,throughput,200,tree,128,2.94801
96,cores,false,static,throughput,200,tree,256,2.78706
96,cores,false,static,throughput,200,tree,512,3.0873
96,cores,false,static,throughput,200,critical,64,2.79755
96,cores,false,static,throughput,200,critical,128,2.79823
96,cores,false,static,throughput,200,critical,256,2.77341
96,cores,false,static,throughput,200,critical,512,2.70746
96,cores,false,static,throughput,200,atomic,64,2.94557
96,cores,false,static,throughput,200,atomic,128,2.71198
96,cores,false,static,throughput,200,atomic,256,2.82705
96,cores,false,static,throughput,200,atomic,512,2.80786
96,cores,false,static,throughput,infinite,tree,64,2.6993
96,cores,false,static,throughput,infinite,tree,128,2.68969
96,cores,false,static,throughput,infinite,tree,256,2.73944
96,cores,false,static,throughput,infinite,tree,512,2.67212
96,cores,false,static,throughput,infinite,critical,64,2.62643
96,cores,false,static,throughput,infinite,critical,128,2.64225
96,cores,false,static,throughput,infinite,critical,256,2.77827
96,cores,false,static,throughput,infinite,critical,512,2.67619
96,cores,false,static,throughput,infinite,atomic,64,2.70762
96,cores,false,static,throughput,infinite,atomic,128,2.63979
