OMP_NUM_THREADS,OMP_PLACES,OMP_PROC_BIND,OMP_SCHEDULE,KMP_LIBRARY,KMP_BLOCKTIME,KMP_FORCE_REDUCTION,KMP_ALIGN_ALLOC,Runtime
96,cores,false,static,throughput,0,tree,64,0.22792
96,cores,false,static,throughput,0,tree,128,0.25581
96,cores,false,static,throughput,0,tree,256,0.22977
96,cores,false,static,throughput,0,tree,512,0.23575
96,cores,false,static,throughput,0,critical,64,0.252
96,cores,false,static,throughput,0,critical,128,0.26842
96,cores,false,static,throughput,0,critical,256,0.2678
96,cores,false,static,throughput,0,critical,512,0.26013
96,cores,false,static,throughput,0,atomic,64,0.24996
96,cores,false,static,throughput,0,atomic,128,0.21844
96,cores,false,static,throughput,0,atomic,256,0.24795
96,cores,false,static,throughput,0,atomic,512,0.24984
96,cores,false,static,throughput,200,tree,64,0.24184
96,cores,false,static,throughput,200,tree,128,0.22232
96,cores,false,static,throughput,200,tree,256,0.26658
96,cores,false,static,throughput,200,tree,512,0.23186
96,cores,false,static,throughput,200,critical,64,0.221
96,cores,false,static,throughput,200,critical,128,0.24764
96,cores,false,static,throughput,200,critical,256,0.21693
96,cores,false,static,throughput,200,critical,512,0.2525
96,cores,false,static,throughput,200,atomic,64,0.2381
96,cores,false,static,throughput,200,atomic,128,0.23827
96,cores,false,static,throughput,200,atomic,256,0.20974
96,cores,false,static,throughput,200,atomic,512,0.24616
96,cores,false,static,throughput,infinite,tree,64,0.18278
96,cores,false,static,throughput,infinite,tree,128,0.19575
96,cores,false,static,throughput,infinite,tree,256,0.18815
96,cores,false,static,throughput,infinite,tree,512,0.18211
96,cores,false,static,throughput,infinite,critical,64,0.18732
96,cores,false,static,throughput,infinite,critical,128,0.19161
96,cores,false,static,throughput,infinite,critical,256,0.19163
96,cores,false,static,throughput,infinite,critical,512,0.17883
96,cores,false,static,throughput,infinite,atomic,64,0.18529
96,cores,false,static,throughput,infinite,atomic,128,0.19417
96,cores,false,static,throughput,infinite,atomic,256,0.18695
96,cores,false,static,throughput,infinite,atomic,512,0.18712
96,cores,false,static,turnaround,0,tree,64,0.18191
