OMP_NUM_THREADS,OMP_PLACES,OMP_PROC_BIND,OMP_SCHEDULE,KMP_LIBRARY,KMP_BLOCKTIME,KMP_FORCE_REDUCTION,KMP_ALIGN_ALLOC,Runtime
2,numa_domains,false,static,throughput,0,tree,64,3.69044
2,numa_domains,false,static,throughput,0,tree,128,3.68954
2,numa_domains,false,static,throughput,0,tree,256,3.68528
2,numa_domains,false,static,throughput,0,tree,512,3.69026
2,numa_domains,false,static,throughput,0,critical,64,3.68626
2,numa_domains,false,static,throughput,0,critical,128,3.68496
2,numa_domains,false,static,throughput,0,critical,256,3.68856
2,numa_domains,false,static,throughput,0,critical,512,3.67805
2,numa_domains,false,static,throughput,0,atomic,64,3.68021
2,numa_domains,false,static,throughput,0,atomic,128,3.68489
2,numa_domains,false,static,throughput,0,atomic,256,3.68511
2,numa_domains,false,static,throughput,0,atomic,512,3.6884
2,numa_domains,false,static,throughput,200,tree,64,3.68857
2,numa_domains,false,static,throughput,200,tree,128,3.68698
2,numa_domains,false,static,throughput,200,tree,256,3.6922
2,numa_domains,false,static,throughput,200,tree,512,3.69089
2,numa_domains,false,static,throughput,200,critical,64,3.68546
2,numa_domains,false,static,throughput,200,critical,128,3.68998
2,numa_domains,false,static,throughput,200,critical,256,3.69044
2,numa_domains,false,static,throughput,200,critical,512,3.6924
2,numa_domains,false,static,throughput,200,atomic,64,3.6881
2,numa_domains,false,static,throughput,200,atomic,128,3.69166
2,numa_domains,false,static,throughput,200,atomic,256,3.69019
2,numa_domains,false,static,throughput,200,atomic,512,3.69455
2,numa_domains,false,static,throughput,infinite,tree,64,3.69167
2,numa_domains,false,static,throughput,infinite,tree,128,3.68408
2,numa_domains,false,static,throughput,infinite,tree,256,3.68964
2,numa_domains,false,static,throughput,infinite,tree,512,3.68614
2,numa_domains,false,static,throughput,infinite,critical,64,3.69069
2,numa_domains,false,static,throughput,infinite,critical,128,3.69714
2,numa_domains,false,static,throughput,infinite,critical,256,3.69409
2,numa_domains,false,static,throughput,infinite,critical,512,3.69585
2,numa_domains,false,static,throughput,infinite,atomic,64,3.69179
2,numa_domains,false,static,throughput,infinite,atomic,128,3.69149
2,numa_domains,false,static,throughput,infinite,atomic,256,3.69362
2,numa_domains,false,static,throughput,infinite,atomic,512,3.69191
2,numa_domains,false,static,turnaround,0,tree,64,3.69937
2,numa_domains,false,static,turnaround,0,tree,128,3.68945
2,numa_domains,false,static,turnaround,0,tree,256,3.69486
2,numa_domains,false,static,turnaround,0,tree,512,3.68743
2,numa_domains,false,static,turnaround,0,critical,64,3.68884
2,numa_domains,false,static,turnaround,0,critical,128,3.69192
2,numa_domains,false,static,turnaround,0,critical,256,3.68957
2,numa_domains,false,static,turnaround,0,critical,512,3.69359
2,numa_domains,false,static,turnaround,0,atomic,64,3.6933
2,numa_domains,false,static,turnaround,0,atomic,128,3.69403
2,numa_domains,false,static,turnaround,0,atomic,256,3.69432
2,numa_domains,false,static,turnaround,0,atomic,512,3.6949
2,numa_domains,false,static,turnaround,200,tree,64,3.69217
2,numa_domains,false,static,turnaround,200,tree,128,3.69043
2,numa_domains,false,static,turnaround,200,tree,256,3.69096
2,numa_domains,false,static,turnaround,200,tree,512,3.68656
2,numa_domains,false,static,turnaround,200,critical,64,3.68404
2,numa_domains,false,static,turnaround,200,critical,128,3.6924
2,numa_domains,false,static,turnaround,200,critical,256,3.68485
2,numa_domains,false,static,turnaround,200,critical,512,3.68641
2,numa_domains,false,static,turnaround,200,atomic,64,3.68921
2,numa_domains,false,static,turnaround,200,atomic,128,3.6862
2,numa_domains,false,static,turnaround,200,atomic,256,3.6936
2,numa_domains,false,static,turnaround,200,atomic,512,3.69428
2,numa_domains,false,static,turnaround,infinite,tree,64,3.68802
2,numa_domains,false,static,turnaround,infinite,tree,128,3.68672
2,numa_domains,false,static,turnaround,infinite,tree,256,3.69193
2,numa_domains,false,static,turnaround,infinite,tree,512,3.68935
2,numa_domains,false,static,turnaround,infinite,critical,64,3.68983
2,numa_domains,false,static,turnaround,infinite,critical,128,3.69493
2,numa_domains,false,static,turnaround,infinite,critical,256,3.69555
2,numa_domains,false,static,turnaround,infinite,critical,512,3.69499
2,numa_domains,false,static,turnaround,infinite,atomic,64,3.68882
2,numa_domains,false,static,turnaround,infinite,atomic,128,3.68946
2,numa_domains,false,static,turnaround,infinite,atomic,256,3.68959
2,numa_domains,false,static,turnaround,infinite,atomic,512,3.6942
2,numa_domains,false,dynamic,throughput,0,tree,64,3.68955
2,numa_domains,false,dynamic,throughput,0,tree,128,3.69689
