OMP_NUM_THREADS,OMP_PLACES,OMP_PROC_BIND,OMP_SCHEDULE,KMP_LIBRARY,KMP_BLOCKTIME,KMP_FORCE_REDUCTION,KMP_ALIGN_ALLOC,Runtime
4,numa_domains,false,static,throughput,0,tree,64,7.1074
4,numa_domains,false,static,throughput,0,tree,128,7.0894
4,numa_domains,false,static,throughput,0,tree,256,6.9398
4,numa_domains,false,static,throughput,0,tree,512,6.9114
4,numa_domains,false,static,throughput,0,critical,64,7.1032
4,numa_domains,false,static,throughput,0,critical,128,6.9404
4,numa_domains,false,static,throughput,0,critical,256,6.8058
4,numa_domains,false,static,throughput,0,critical,512,6.7804
4,numa_domains,false,static,throughput,0,atomic,64,7.1058
4,numa_domains,false,static,throughput,0,atomic,128,6.8038
4,numa_domains,false,static,throughput,0,atomic,256,6.7906
4,numa_domains,false,static,throughput,0,atomic,512,6.8154
4,numa_domains,false,static,throughput,200,tree,64,7.1082
4,numa_domains,false,static,throughput,200,tree,128,6.9002
4,numa_domains,false,static,throughput,200,tree,256,6.7986
4,numa_domains,false,static,throughput,200,tree,512,6.9016
4,numa_domains,false,static,throughput,200,critical,64,7.1004
4,numa_domains,false,static,throughput,200,critical,128,6.982
4,numa_domains,false,static,throughput,200,critical,256,6.8742
4,numa_domains,false,static,throughput,200,critical,512,6.9056
4,numa_domains,false,static,throughput,200,atomic,64,7.1196
4,numa_domains,false,static,throughput,200,atomic,128,6.933
4,numa_domains,false,static,throughput,200,atomic,256,6.9534
4,numa_domains,false,static,throughput,200,atomic,512,6.9232
4,numa_domains,false,static,throughput,infinite,tree,64,7.1036
4,numa_domains,false,static,throughput,infinite,tree,128,6.9066
4,numa_domains,false,static,throughput,infinite,tree,256,7.0346
4,numa_domains,false,static,throughput,infinite,tree,512,6.8352
4,numa_domains,false,static,throughput,infinite,critical,64,7.1276
4,numa_domains,false,static,throughput,infinite,critical,128,7.0384
4,numa_domains,false,static,throughput,infinite,critical,256,6.9126
4,numa_domains,false,static,throughput,infinite,critical,512,6.9414
4,numa_domains,false,static,throughput,infinite,atomic,64,7.12
4,numa_domains,false,static,throughput,infinite,atomic,128,6.8734
4,numa_domains,false,static,throughput,infinite,atomic,256,6.9618
4,numa_domains,false,static,throughput,infinite,atomic,512,6.8446
4,numa_domains,false,static,turnaround,0,tree,64,7.0938
4,numa_domains,false,static,turnaround,0,tree,128,6.7452
4,numa_domains,false,static,turnaround,0,tree,256,6.925
4,numa_domains,false,static,turnaround,0,tree,512,6.8994
4,numa_domains,false,static,turnaround,0,critical,64,7.111
4,numa_domains,false,static,turnaround,0,critical,128,6.8396
4,numa_domains,false,static,turnaround,0,critical,256,6.885
4,numa_domains,false,static,turnaround,0,critical,512,6.8064
