OMP_NUM_THREADS,OMP_PLACES,OMP_PROC_BIND,OMP_SCHEDULE,KMP_LIBRARY,KMP_BLOCKTIME,KMP_FORCE_REDUCTION,KMP_ALIGN_ALLOC,Runtime
2,numa_domains,false,static,throughput,0,tree,64,12.81375
2,numa_domains,false,static,throughput,0,tree,128,12.7655
2,numa_domains,false,static,throughput,0,tree,256,12.69175
2,numa_domains,false,static,throughput,0,tree,512,12.76225
2,numa_domains,false,static,throughput,0,critical,64,12.80625
2,numa_domains,false,static,throughput,0,critical,128,12.82475
2,numa_domains,false,static,throughput,0,critical,256,12.7495
2,numa_domains,false,static,throughput,0,critical,512,12.806
2,numa_domains,false,static,throughput,0,atomic,64,12.85275
2,numa_domains,false,static,throughput,0,atomic,128,12.80325
2,numa_domains,false,static,throughput,0,atomic,256,12.80425
2,numa_domains,false,static,throughput,0,atomic,512,12.83025
2,numa_domains,false,static,throughput,200,tree,64,12.7875
2,numa_domains,false,static,throughput,200,tree,128,12.7595
2,numa_domains,false,static,throughput,200,tree,256,12.76825
2,numa_domains,false,static,throughput,200,tree,512,12.75475
2,numa_domains,false,static,throughput,200,critical,64,12.7855
2,numa_domains,false,static,throughput,200,critical,128,12.7645
2,numa_domains,false,static,throughput,200,critical,256,12.77
2,numa_domains,false,static,throughput,200,critical,512,12.71725
2,numa_domains,false,static,throughput,200,atomic,64,12.81275
2,numa_domains,false,static,throughput,200,atomic,128,12.8205
2,numa_domains,false,static,throughput,200,atomic,256,12.6965
2,numa_domains,false,static,throughput,200,atomic,512,12.739
2,numa_domains,false,static,throughput,infinite,tree,64,12.78925
2,numa_domains,false,static,throughput,infinite,tree,128,12.777
2,numa_domains,false,static,throughput,infinite,tree,256,12.7725
2,numa_domains,false,static,throughput,infinite,tree,512,12.6335
2,numa_domains,false,static,throughput,infinite,critical,64,12.787
2,numa_domains,false,static,throughput,infinite,critical,128,12.778
2,numa_domains,false,static,throughput,infinite,critical,256,12.77475
2,numa_domains,false,static,throughput,infinite,critical,512,12.65475
2,numa_domains,false,static,throughput,infinite,atomic,64,12.80575
2,numa_domains,false,static,throughput,infinite,atomic,128,12.751
2,numa_domains,false,static,throughput,infinite,atomic,256,12.74325
2,numa_domains,false,static,throughput,infinite,atomic,512,12.8755
2,numa_domains,false,static,turnaround,0,tree,64,12.7835
2,numa_domains,false,static,turnaround,0,tree,128,12.7475
2,numa_domains,false,static,turnaround,0,tree,256,12.8065
2,numa_domains,false,static,turnaround,0,tree,512,12.65225
2,numa_domains,false,static,turnaround,0,critical,64,12.7775
2,numa_domains,false,static,turnaround,0,critical,128,12.7905
2,numa_domains,false,static,turnaround,0,critical,256,12.7455
2,numa_domains,false,static,turnaround,0,critical,512,12.81925
2,numa_domains,false,static,turnaround,0,atomic,64,12.8105
2,numa_domains,false,static,turnaround,0,atomic,128,12.76375
2,numa_domains,false,static,turnaround,0,atomic,256,12.71075
2,numa_domains,false,static,turnaround,0,atomic,512,12.804
2,numa_domains,false,static,turnaround,200,tree,64,12.77425
2,numa_domains,false,static,turnaround,200,tree,128,12.818
2,numa_domains,false,static,turnaround,200,tree,256,12.64125
2,numa_domains,false,static,turnaround,200,tree,512,12.73325
2,numa_domains,false,static,turnaround,200,critical,64,12.77675
2,numa_domains,false,static,turnaround,200,critical,128,12.89725
2,numa_domains,false,static,turnaround,200,critical,256,12.6705
2,numa_domains,false,static,turnaround,200,critical,512,12.7785
2,numa_domains,false,static,turnaround,200,atomic,64,12.81425
2,numa_domains,false,static,turnaround,200,atomic,128,12.8215
2,numa_domains,false,static,turnaround,200,atomic,256,12.69025
2,numa_domains,false,static,turnaround,200,atomic,512,12.73875
2,numa_domains,false,static,turnaround,infinite,tree,64,12.777
2,numa_domains,false,static,turnaround,infinite,tree,128,12.767
2,numa_domains,false,static,turnaround,infinite,tree,256,12.6995
2,numa_domains,false,static,turnaround,infinite,tree,512,12.75325
2,numa_domains,false,static,turnaround,infinite,critical,64,12.772
2,numa_domains,false,static,turnaround,infinite,critical,128,12.756
2,numa_domains,false,static,turnaround,infinite,critical,256,12.7525
2,numa_domains,false,static,turnaround,infinite,critical,512,12.81825
2,numa_domains,false,static,turnaround,infinite,atomic,64,12.7925
2,numa_domains,false,static,turnaround,infinite,atomic,128,12.7755
2,numa_domains,false,static,turnaround,infinite,atomic,256,12.62925
2,numa_domains,false,static,turnaround,infinite,atomic,512,12.7005
2,numa_domains,false,dynamic,throughput,0,tree,64,12.791
2,numa_domains,false,dynamic,throughput,0,tree,128,12.7485
2,numa_domains,false,dynamic,throughput,0,tree,256,12.7595
2,numa_domains,false,dynamic,throughput,0,tree,512,12.82875
2,numa_domains,false,dynamic,throughput,0,critical,64,12.7775
2,numa_domains,false,dynamic,throughput,0,critical,128,12.84125
2,numa_domains,false,dynamic,throughput,0,critical,256,12.75625
2,numa_domains,false,dynamic,throughput,0,critical,512,12.79725
2,numa_domains,false,dynamic,throughput,0,atomic,64,12.80125
2,numa_domains,false,dynamic,throughput,0,atomic,128,12.71575
2,numa_domains,false,dynamic,throughput,0,atomic,256,12.74275
2,numa_domains,false,dynamic,throughput,0,atomic,512,12.7885
2,numa_domains,false,dynamic,throughput,200,tree,64,12.79125
2,numa_domains,false,dynamic,throughput,200,tree,128,12.85725
2,numa_domains,false,dynamic,throughput,200,tree,256,12.78325
2,numa_domains,false,dynamic,throughput,200,tree,512,12.82175
2,numa_domains,false,dynamic,throughput,200,critical,64,12.799
